数据库：分省年度数据
指标：家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,6073,6490,6151,6372,110525,6220,5439,5878,6166,5444,5308,4978,4981,69594,4593,4614,4288
天津市,4025,4171,4162,4145,68037,4572,4406,4089,3887,3310,3339,3197,3228,44806,3164,3208,3229
河北省,18924,19580,19092,19130,338842,18917,18922,18532,18033,18850,18824,19188,19248,270892,18913,19203,18777
山西省,9807,10035,10104,9768,172990,9521,9757,9664,9287,9226,9193,9106,9080,130427,8863,8832,8917
内蒙古自治区,7272,7852,7644,7467,133437,7664,7420,7176,7365,7367,7324,7387,7285,106792,7337,7356,7473
辽宁省,13205,13791,13382,13344,234112,13534,12706,12605,13583,13334,13659,13383,13165,189878,13078,13319,13243
吉林省,8001,8305,8426,8016,141275,8313,8185,7794,7996,7883,8158,8191,8168,113403,7998,8070,8045
黑龙江省,11768,11910,11872,11460,204569,11621,11535,11541,11439,11777,12174,12014,11797,169177,11829,11985,11637
上海市,7536,7971,7729,7801,136119,8104,7965,7692,7564,6288,6171,6112,5982,83106,5805,5669,5328
江苏省,20478,20769,20575,20355,363675,21476,21350,20970,21717,22485,22173,22575,22826,329566,22752,22685,22891
浙江省,17296,17728,17238,16889,289309,16291,15657,15417,16306,15783,15659,15528,15511,226688,14924,15374,15145
安徽省,16782,16243,16110,15635,277603,15563,15835,15862,16591,17807,18139,18393,18114,265023,18554,18053,17801
福建省,10557,10546,10142,10310,173537,11111,10879,10330,10128,10471,10251,10174,10019,148892,10074,9939,9912
江西省,10727,10863,10658,10482,187202,10901,10607,10699,10758,10769,11191,11635,11865,171522,11745,11927,11442
山东省,28347,28656,28862,28783,495703,28267,28477,27473,28063,28048,28561,28746,28663,415415,29051,28889,28174
河南省,22346,22976,23474,22834,414639,22622,23446,22869,22346,25172,25041,25389,25760,361725,26685,26799,26180
湖北省,14913,15269,15270,15304,273352,15646,15690,15167,15450,16489,16458,16487,16841,242166,17026,17586,17745
湖南省,16933,16766,17011,17414,300823,17134,16753,17832,18054,17230,17658,18220,18852,263001,18884,18746,18922
广东省,27825,28361,28166,27857,442394,24832,24828,24068,23808,22954,22362,22254,22172,310146,19325,19550,19291
广西壮族自治区,11552,11714,11399,11410,202424,12003,11559,11571,12130,11986,12107,12021,12173,180466,12420,12834,12813
海南省,1945,2023,2065,2020,35952,1960,1991,1910,2031,1981,2002,1952,1931,27779,1876,1958,1829
重庆市,8536,8590,9044,9132,152828,8678,8771,8892,8609,9053,8798,8816,8626,129342,10467,8941,9157
四川省,23283,23142,22756,22751,398375,24259,23612,22423,22994,23894,24055,24750,25404,366256,25268,25758,26133
贵州省,8843,8991,8630,8940,156383,8917,9099,9185,9155,9316,9451,9741,9671,142031,10323,10348,10270
云南省,11313,11683,10831,11002,199586,11489,11606,11450,11401,11180,11121,11169,11248,161443,11468,10822,11157
西藏自治区,656,716,686,675,11513,642,632,627,598,543,560,550,526,7227,549,537,615
陕西省,9921,10193,9813,9510,171859,9918,10032,9962,9715,10424,10540,10602,10533,149873,9921,10101,9920
甘肃省,6000,6156,6449,6353,107046,6194,6222,6533,6593,6531,6587,6494,6476,92736,6453,6384,6416
青海省,1508,1485,1459,1471,24792,1461,1394,1374,1316,1359,1353,1371,1364,19245,1337,1329,1248
宁夏回族自治区,1741,1722,1731,1776,30513,1698,1675,1545,1566,1571,1545,1520,1501,21917,1534,1503,1461
新疆维吾尔自治区,5859,6529,6339,6025,106374,5889,5583,5825,5798,5422,5368,5317,5169,76020,5402,5229,5623
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
