数据库：分省年度数据
指标：客运量(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,36666,30936,62977,58935,58871,61519,62849,65063,64161,142731,139718,135045,129534,124764,16190,8751,8040,46900,29300,27147
天津市,12391,10602,17679,17450,17440,18377,18345,18300,17995,27529,24934,24525,23337,22817,6829,5443,4514,3956,3403,3383
河北省,15009,17677,44733,47346,50023,50701,53274,60725,61718,105064,99458,90847,77773,73058,88886,83955,80894,77770,65209,76182
山西省,11810,12457,22305,23837,25155,26374,29612,34168,34899,39987,39208,38424,36474,36178,43866,42240,39975,39207,37225,38643
内蒙古自治区,6283,6522,12158,13268,14867,15735,16125,18283,20819,27630,26014,24043,22077,20068,38678,35307,31776,28652,23599,25490
辽宁省,27408,33539,70266,71343,72483,73632,73692,94172,91735,103283,98606,101525,95505,90112,70659,63942,60100,57637,50349,53891
吉林省,13470,15308,31599,31956,32989,34910,36359,35004,34148,72679,68190,64486,58580,56029,31477,28903,27601,27088,24505,24944
黑龙江省,13480,12297,29751,31568,34670,39386,42869,46841,45566,52404,50481,46895,43365,41567,64480,60200,55408,51263,47842,50939
上海市,11125,9234,16442,15845,15485,14416,13844,13317,11691,10859,10033,10233,9571,8507,9086,8505,7985,7683,6481,6578
江苏省,67295,85310,120298,120612,126783,133580,138308,155207,151444,267710,246855,226073,200713,183383,187270,161297,145121,128394,123297,115715
浙江省,46355,58075,101893,98380,104497,105018,111369,130145,135348,233115,230769,226946,199068,216879,190026,175090,161115,150743,141148,136463
安徽省,27563,32366,59275,63347,69105,81106,86810,139553,126710,213432,185575,159388,141229,129242,86907,78938,72657,68837,62727,65707
福建省,19614,23163,45761,48105,51134,51649,51646,58719,55107,82041,79549,75798,75009,71780,63669,58883,55121,53513,47766,48833
江西省,24304,41913,58069,60686,62997,62876,62418,67795,65067,84240,78930,76447,70496,65895,43616,42996,41586,39536,36909,38039
山东省,29975,30757,68920,67443,65299,63463,60356,74378,75074,265632,251187,249358,234564,213586,123982,109471,98506,89407,77212,76539
河南省,50717,57909,109297,110421,114351,120528,125015,140180,136237,207247,193285,167223,144203,130080,122242,107915,97896,90795,81228,90370
湖北省,33040,30112,87432,98350,103144,102990,102035,100730,91522,127079,112422,103268,94334,87838,82374,73930,70497,67105,61961,62307
湖南省,50660,56376,101428,106680,114936,121760,131311,161837,159726,184336,171371,156404,140572,131067,123334,118466,116091,106310,96207,98284
广东省,53599,79351,142326,142144,137418,130345,123926,180789,153120,574266,510653,456139,418938,475200,199162,186996,149896,141747,131199,117817
广西壮族自治区,27918,34947,47085,47931,48578,48699,49101,51904,49275,90229,83100,75751,68593,63608,60793,55705,51396,48078,42932,45110
海南省,8944,7926,14187,14383,14660,13912,13728,14210,13328,47117,46224,44209,40735,37953,40239,31571,26785,25791,24787,23612
重庆市,32754,37205,60153,60587,60522,61255,62282,68399,65183,156545,140398,126066,113981,106732,76945,61128,63308,63303,58159,61772
四川省,60287,57508,91668,98569,109093,123746,135969,138274,134775,277611,258845,241868,220020,204733,207174,194712,168505,158608,141148,143491
贵州省,25855,40137,93756,93025,91803,89464,87541,86571,83436,83527,72428,70819,64918,40725,74440,69270,64450,58707,55074,55980
云南省,20582,24177,38381,41484,44622,46519,48794,49080,47626,48456,44963,39407,35556,33906,45668,43387,40792,38653,34785,38435
西藏自治区,939,825,1365,1399,1319,1155,1092,1571,1455,3849,3769,8165,7844,6856,549,483,385,256,125,128
陕西省,20587,36798,70761,71583,67880,69820,69680,74188,70133,111773,107032,93171,84303,76028,48772,43331,38725,35350,30977,31632
甘肃省,15494,26686,42133,42185,42638,41626,40453,38986,36163,64361,60902,53771,49968,45966,20483,19083,17804,16479,14961,14725
青海省,2474,4135,6313,6443,6274,5934,5602,5444,4790,12692,11870,10951,10071,9424,5607,5243,4886,4568,4265,3977
宁夏回族自治区,3575,3560,5754,6137,7345,8757,9300,9186,8418,16343,15104,13560,12629,11868,8134,7548,7066,6654,5856,6082
新疆维吾尔自治区,16026,6960,20276,21204,27083,32148,35948,37176,40926,38331,35130,31937,29886,32793,27648,25504,24309,22340,18103,17340
数据来源：国家统计局
