数据库：分省年度数据
指标：森林病虫鼠害防治面积(万公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3.13,3.58,2.91,2.99,3.75,3.95,3.96,4.03,4.03,3.81,3.93,3.90,3.84,3.76,3.67,3.46,4.35,,
天津市,,4.86,5.12,5.11,4.78,4.70,4.62,4.77,5.00,4.96,4.50,4.67,3.83,3.16,2.79,1.87,2.77,4.72,,
河北省,,44.34,44.55,44.09,44.69,42.87,37.90,44.61,44.39,41.63,46.10,59.99,57.46,38.48,34.18,30.67,28.85,26.80,,
山西省,,22.53,18.10,19.53,18.36,15.39,11.90,11.23,12.94,14.97,9.31,15.01,20.34,13.97,14.06,13.87,12.55,16.87,,
内蒙古自治区,,59.00,97.33,60.44,68.32,58.36,64.56,52.64,59.60,62.15,43.28,51.91,43.51,48.73,57.27,58.80,60.60,51.26,,
辽宁省,,49.06,51.97,51.43,52.37,51.14,56.32,51.35,58.20,58.85,65.46,64.00,61.13,59.57,56.60,54.87,35.93,47.95,,
吉林省,,33.09,32.06,22.20,22.03,18.14,13.74,15.70,19.20,20.91,21.59,11.06,11.31,23.78,22.96,17.87,13.80,11.30,,
黑龙江省,,38.18,34.56,32.70,34.22,29.58,35.59,39.89,41.02,38.65,36.56,46.06,33.54,51.03,85.38,44.60,40.30,38.24,,
上海市,,1.25,1.26,1.20,1.17,0.74,0.44,0.49,0.43,0.54,0.55,0.74,1.12,0.99,1.01,1.07,1.39,3.92,,
江苏省,,9.68,12.07,14.58,9.68,9.83,8.37,8.72,10.33,8.66,6.86,6.94,7.80,7.19,8.41,6.87,5.32,5.09,,
浙江省,,43.50,27.42,19.80,17.73,12.70,10.15,9.46,6.64,5.27,6.18,6.15,6.43,5.68,5.68,3.93,6.93,8.55,,
安徽省,,36.37,33.97,38.50,43.28,37.39,32.75,31.27,31.27,31.58,33.01,30.49,26.02,28.79,27.16,27.87,21.04,19.32,,
福建省,,26.36,16.45,16.90,18.37,19.65,20.56,21.56,22.97,10.51,14.47,10.76,11.63,14.99,18.69,22.40,18.09,24.72,,
江西省,,52.50,26.63,28.90,23.17,15.45,13.21,17.78,17.83,25.58,12.97,28.89,33.22,16.30,25.43,17.87,26.60,16.95,,
山东省,,43.33,50.26,47.28,46.31,44.18,45.08,51.34,52.95,47.64,57.94,56.42,73.28,47.25,43.02,44.40,46.30,36.47,,
河南省,,46.44,48.89,51.54,51.09,48.89,50.55,48.12,50.18,44.80,45.59,46.37,42.79,42.82,46.73,43.47,34.87,31.59,,
湖北省,,36.97,41.91,39.35,42.42,35.86,32.40,23.46,22.37,21.18,19.92,27.45,30.09,26.88,26.30,24.53,19.57,17.96,,
湖南省,,24.50,19.88,27.85,27.21,26.81,32.25,32.93,29.27,14.69,18.60,22.36,19.14,12.50,16.47,23.40,15.63,24.43,,
广东省,,37.53,24.46,22.13,16.26,17.25,13.20,11.43,10.16,12.95,10.22,14.55,14.98,15.25,15.78,12.27,8.61,8.11,,
广西壮族自治区,,8.38,29.37,5.60,4.63,6.64,8.29,9.68,6.69,5.54,7.50,8.46,8.55,8.61,8.80,10.60,7.73,11.89,,
海南省,,0.56,0.59,0.66,1.05,0.81,0.70,0.79,0.47,0.56,0.08,0.94,0.54,0.16,0.86,1.60,1.39,3.69,,
重庆市,,39.25,40.11,41.31,29.57,11.24,21.33,15.99,15.44,17.87,21.05,26.96,26.29,21.64,23.88,20.53,11.53,12.27,,
四川省,,49.10,46.99,45.11,46.90,49.91,50.69,52.09,31.79,55.82,34.15,57.33,61.57,58.89,58.34,65.60,66.54,68.02,,
贵州省,,16.34,17.50,19.57,18.28,13.02,18.70,20.52,18.46,14.46,11.90,21.61,23.44,15.95,21.56,24.67,22.73,21.88,,
云南省,,37.76,40.01,44.69,42.34,42.32,43.23,28.30,28.82,26.92,26.82,31.49,30.66,31.63,32.26,30.73,29.87,22.46,,
西藏自治区,,16.62,7.45,7.26,21.90,17.48,17.12,16.34,23.31,15.38,15.93,9.83,,,,,,,,
陕西省,,32.47,28.83,31.83,31.63,28.46,32.70,34.23,30.96,28.46,25.00,27.26,26.21,25.94,38.57,21.00,22.81,25.62,,
甘肃省,,32.71,28.98,28.26,24.88,21.98,20.21,20.06,20.21,14.57,14.12,18.80,20.72,22.21,20.37,21.87,20.36,16.77,,
青海省,,19.89,21.40,22.13,20.28,19.60,10.96,9.28,9.28,16.36,17.44,20.54,19.50,17.83,17.51,14.73,13.12,12.50,,
宁夏回族自治区,,12.06,12.93,16.35,13.79,8.72,20.83,16.25,13.63,12.30,13.07,20.63,20.63,23.94,20.53,28.80,7.82,22.28,,
新疆维吾尔自治区,,128.64,148.53,137.51,160.62,118.16,133.35,79.88,67.96,101.26,81.84,57.10,74.44,90.49,40.93,34.60,26.11,15.25,,
数据来源：国家统计局
