数据库：分省年度数据
指标：固定长途电话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,382607.8,577177.1,447656.8,424399.5,421738.8,439915.4,495623.0,268340.5,275488.4,298675.6,333139.0,326424.0,,,,
天津市,,,,,45507.6,40524.0,42169.7,45486.2,58984.1,66699.3,78053.2,73048.3,72618.7,97657.0,122126.5,133429.6,,,,
河北省,,,,,112155.5,145186.3,154587.2,174085.6,184873.3,211272.2,245939.9,248506.7,283386.9,383019.1,337070.3,306080.3,,,,
山西省,,,,,23571.4,32864.0,43869.4,56659.7,71993.3,85343.1,107291.8,152453.3,167290.8,204459.5,188627.8,194732.4,,,,
内蒙古自治区,,,,,34081.4,42314.7,53221.5,57559.8,51285.3,58756.8,75726.4,85390.1,107148.7,129274.5,118633.9,109519.3,,,,
辽宁省,,,,,111318.2,131236.4,165095.2,140219.6,197132.9,226581.2,273710.5,247546.9,290260.4,347284.0,371415.2,304873.1,,,,
吉林省,,,,,31075.2,46929.7,59179.9,65452.4,69253.2,75289.3,94057.3,89618.7,96961.8,105145.6,115707.1,111328.2,,,,
黑龙江省,,,,,34098.6,44959.0,58588.9,71024.2,90844.9,100441.2,137068.4,145479.4,194074.9,224447.5,199021.9,211630.6,,,,
上海市,,,,,346907.7,383881.5,398275.8,438804.7,490318.9,601413.2,566660.9,358020.3,269571.6,296752.6,362676.6,327480.1,,,,
江苏省,,,,,255071.1,325726.9,349124.9,350016.4,360574.8,433597.0,539036.3,582250.9,760610.6,1050980.5,1001428.3,813444.3,,,,
浙江省,,,,,175425.6,224953.5,292874.7,298633.6,301154.2,386258.4,442969.0,569740.4,726953.4,859033.0,1057564.7,1004295.3,,,,
安徽省,,,,,93590.4,111552.1,242689.3,286149.3,185766.5,188182.7,221315.7,135204.6,131190.9,136298.7,147931.2,186991.1,,,,
福建省,,,,,90567.1,110005.4,127728.4,173820.0,181137.1,206061.4,249740.5,257282.4,286705.0,335515.6,362668.2,504445.5,,,,
江西省,,,,,58370.3,68913.5,99120.9,102054.5,116212.0,118805.0,140102.7,125897.6,137276.1,163694.3,171605.7,184041.2,,,,
山东省,,,,,129862.1,153906.8,169853.5,221385.1,254837.9,278777.8,323590.1,290478.2,371326.5,417611.6,427095.9,440575.5,,,,
河南省,,,,,71389.6,90399.7,101516.7,127457.2,177532.2,218562.0,281058.0,291668.9,347406.3,430807.3,423413.9,393866.9,,,,
湖北省,,,,,97908.2,113784.4,158320.3,173621.9,200893.4,224055.0,281571.0,321186.4,360856.6,384368.1,375295.9,326088.0,,,,
湖南省,,,,,81617.4,83787.0,107014.3,118202.7,140628.5,173355.3,215593.2,222929.7,246315.2,312612.4,322023.5,267734.6,,,,
广东省,,,,,517519.1,662092.4,980016.8,1148308.2,1307696.8,1669195.3,2279265.1,1499495.7,1470300.5,1754955.9,1808476.7,1574276.9,,,,
广西壮族自治区,,,,,29306.5,40291.2,74160.1,92797.7,117200.3,161259.2,208402.7,238548.1,290044.4,284997.7,240553.1,233153.3,,,,
海南省,,,,,12951.9,15792.6,20549.7,30640.7,69239.2,55111.5,55154.3,53628.1,60479.2,63465.2,65121.1,69176.7,,,,
重庆市,,,,,29314.4,69894.0,54731.2,54318.3,60312.5,73083.7,76966.6,67248.7,82882.3,105595.1,122133.7,108294.0,,,,
四川省,,,,,151176.8,197505.6,181086.2,201294.2,222751.7,248691.4,299741.5,236422.4,280928.6,335254.0,393741.3,293112.2,,,,
贵州省,,,,,21064.9,32211.9,39777.5,52099.2,77142.9,92499.2,111464.4,90477.1,91299.9,101127.9,103244.7,94960.7,,,,
云南省,,,,,31736.0,43878.2,57502.9,79023.4,100360.6,127376.1,156418.8,168902.9,182085.6,178437.0,187855.0,191149.6,,,,
西藏自治区,,,,,4161.3,3439.1,5229.5,7309.7,11308.1,18065.3,24887.1,20557.1,36912.2,49309.6,45936.2,34921.3,,,,
陕西省,,,,,88797.0,108061.9,91423.5,113737.3,122625.9,142245.2,177995.0,183593.0,232342.4,261485.6,255847.4,237718.2,,,,
甘肃省,,,,,24105.7,27957.4,35385.4,44990.8,64654.4,76883.8,93791.5,100407.9,130371.3,135197.7,145774.6,127972.8,,,,
青海省,,,,,8131.1,11307.1,17361.4,21616.9,29364.1,40738.3,50662.6,42806.0,43469.7,42550.9,38510.5,34485.8,,,,
宁夏回族自治区,,,,,6753.3,11106.0,17158.7,19512.0,22350.7,25384.0,29806.9,28280.0,28961.8,34807.5,38165.8,36500.8,,,,
新疆维吾尔自治区,,,,,41038.4,56774.7,80331.0,110319.4,145371.5,183153.1,235747.2,153614.2,177998.2,182415.6,204899.2,198551.5,,,,
"注：1.1999-2010年固定长途电话通话时长数据不包含IP通话时长,2011年及以后数据包含IP通话时长。"
　　　2.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　3.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
