数据库：分省年度数据
指标：地方财政科学技术支出(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,410.96,433.42,425.87,361.76,285.78,287.80,282.71,234.67,199.94,183.07,178.92,126.31,112.19,90.74,,,,,
天津市,,118.17,109.93,106.68,115.99,125.18,120.82,109.00,92.81,76.45,60.17,43.25,34.00,28.65,22.34,,,,,
河北省,,101.76,90.70,77.04,69.08,73.18,45.50,51.32,49.76,44.74,33.22,29.65,26.43,21.67,17.41,,,,,
山西省,,66.09,57.72,59.08,50.25,34.56,37.47,54.26,62.06,33.32,27.17,20.12,17.61,17.64,15.80,,,,,
内蒙古自治区,,32.38,28.49,26.05,33.67,32.38,35.72,32.87,31.64,27.61,28.21,21.39,18.07,15.36,9.22,,,,,
辽宁省,,72.71,74.03,75.05,57.38,61.61,68.92,108.82,118.99,101.24,87.20,68.90,57.49,49.02,38.69,,,,,
吉林省,,39.94,39.18,41.10,46.84,41.01,41.39,36.45,37.22,24.96,21.18,19.12,18.98,13.41,11.09,,,,,
黑龙江省,,42.98,42.16,39.52,46.91,44.92,42.91,39.46,38.61,37.64,33.23,27.69,19.96,20.09,17.47,,,,,
上海市,,406.20,389.54,426.37,389.90,341.71,271.85,262.29,257.66,245.43,218.50,202.03,215.31,120.27,105.77,,,,,
江苏省,,584.39,572.04,507.31,428.01,381.02,371.96,327.10,302.59,257.24,213.40,150.35,117.02,91.52,68.73,,,,,
浙江省,,472.13,516.06,379.66,303.50,269.04,250.79,207.99,191.87,165.98,143.90,121.40,99.30,86.79,71.54,,,,,
安徽省,,369.98,377.95,294.81,260.41,259.50,147.94,129.59,109.67,96.00,77.03,57.98,36.47,23.78,15.96,,,,,
福建省,,149.44,133.41,115.25,99.44,80.28,76.60,67.40,60.62,48.47,40.48,32.31,27.89,25.63,21.27,,,,,
江西省,,195.74,182.92,147.09,120.09,83.12,74.79,58.37,46.32,27.50,21.32,18.26,13.40,11.14,8.74,,,,,
山东省,,298.62,305.76,232.74,195.77,167.00,159.05,147.06,149.14,124.98,108.62,84.36,62.88,57.13,46.41,,,,,
河南省,,254.28,211.07,155.67,137.94,96.10,83.25,81.25,80.00,69.64,56.59,44.67,35.52,30.44,25.23,,,,,
湖北省,,287.85,319.28,268.49,234.27,190.11,157.36,134.46,77.21,54.39,44.19,30.09,25.33,23.06,18.76,,,,,
湖南省,,220.66,171.92,129.94,91.42,71.44,66.26,59.38,55.46,48.19,41.96,35.04,29.62,26.59,20.49,,,,,
广东省,,955.73,1168.79,1034.71,823.89,742.97,569.55,274.33,344.94,246.71,203.92,214.44,168.50,132.52,119.26,,,,,
广西壮族自治区,,66.26,72.33,64.43,60.04,45.20,49.63,59.93,54.36,42.81,28.25,21.66,18.07,16.21,13.19,,,,,
海南省,,35.67,30.10,15.04,12.47,15.69,12.38,13.53,13.83,12.06,9.83,7.47,6.07,4.50,2.79,,,,,
重庆市,,82.87,79.23,68.59,59.31,51.62,45.67,38.16,38.65,29.84,25.04,17.90,15.55,15.13,11.05,,,,,
四川省,,181.70,184.95,147.91,106.57,101.09,96.69,81.76,69.51,59.40,45.75,34.71,28.64,25.82,20.78,,,,,
贵州省,,113.19,114.13,102.88,87.72,69.30,58.68,44.34,34.27,28.98,21.68,16.66,14.27,12.99,9.98,,,,,
云南省,,64.94,59.00,54.94,53.42,46.86,48.56,43.15,42.59,32.67,28.30,21.43,18.99,17.67,13.06,,,,,
西藏自治区,,8.99,7.28,8.12,8.49,4.81,5.41,4.42,4.17,5.09,3.38,2.71,2.69,2.90,1.93,,,,,
陕西省,,56.45,71.38,87.22,79.34,62.01,57.28,44.86,38.02,34.94,29.01,25.25,20.84,17.14,13.30,,,,,
甘肃省,,32.07,29.39,25.74,25.83,26.23,29.85,21.16,19.76,16.19,13.22,10.89,10.18,9.47,7.31,,,,,
青海省,,10.56,10.37,12.80,11.94,10.90,11.22,10.39,8.39,7.18,3.76,4.08,4.78,3.97,2.52,,,,,
宁夏回族自治区,,27.91,31.26,34.02,25.55,18.26,17.25,11.66,10.69,9.61,7.87,5.97,4.40,4.33,4.79,,,,,
新疆维吾尔自治区,,41.25,40.81,42.25,42.81,44.98,41.64,40.34,39.85,33.01,26.43,20.19,16.14,14.84,12.84,,,,,
数据来源：国家统计局
