数据库：分省年度数据
指标：全体居民人均消费支出(元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,43640,38903,43038,39843,37425,35416,33803,31103,29176,26562,24298,21834,19381,17447,15933,15123,13289
天津市,33188,28461,31854,29903,27841,26129,24162,22343,20419,18542,16796,14711,12974,11641,10352,9072,8227
河北省,19954,18037,17987,16722,15437,14247,13031,11932,10872,9773,8852,7583,6846,6241,5477,4769,4181
山西省,17191,15733,15863,14810,13664,12683,11729,10864,10118,9446,8404,7011,6449,5984,5319,4560,3902
内蒙古自治区,22658,19794,20743,19665,18946,18072,17179,16258,14878,13475,11920,10209,8873,7706,6578,5385,4746
辽宁省,23831,20672,22203,21398,20463,19853,17200,16068,14950,13489,11954,10462,9587,8652,7241,6182,5657
吉林省,19605,17318,18075,17200,15632,14773,13764,13026,12054,10737,9442,8176,7677,6817,6010,5183,4677
黑龙江省,20636,17056,18111,16994,15577,14446,13403,12769,12037,10750,9967,8619,7863,7008,5883,5085,4727
上海市,48879,42536,45605,43351,39792,37458,34784,33065,30400,28152,26858,24758,22230,20345,18001,15284,14135
江苏省,31451,26225,26697,25007,23469,22130,20556,19164,17926,16500,14635,12266,10717,9621,8487,7416,6451
浙江省,36668,31295,32026,29471,27079,25527,24117,22552,20610,18931,17874,15634,13943,12794,11695,10780,9740
安徽省,21911,18877,19137,17045,15752,14712,12840,11727,10544,9878,8683,7297,6510,5887,5045,4290,3742
福建省,28440,25126,25314,22996,21249,20167,18850,17644,16177,14843,13218,11474,10287,9358,8084,7068,6290
江西省,20290,17955,17650,15792,14459,13259,12403,11089,10053,9182,8361,7291,6585,5874,5185,4433,4011
山东省,22821,20940,20427,18780,17281,15926,14578,13329,11897,10902,9853,8560,7794,7128,6249,5443,4740
河南省,18391,16143,16332,15169,13730,12712,11835,11000,10002,9103,7968,6831,6065,5420,4676,3849,3294
湖北省,23846,19246,21567,19538,16938,15889,14316,12928,11761,10756,9589,8090,7091,6607,5817,4970,4442
湖南省,22798,20998,20479,18808,17160,15750,14267,13289,11946,10806,9713,8308,7615,6951,6098,5370,4805
广东省,31589,28492,28995,26054,24820,23448,20976,19205,17421,16002,14459,12907,11615,10860,9952,8771,8221
广西壮族自治区,18088,16357,16418,14935,13424,12295,11401,10274,9596,8910,7816,6697,6080,5574,4778,4001,3983
海南省,22242,18972,19555,17528,15403,14275,13575,12471,11193,10161,8859,7517,6837,6283,5479,4657,3888
重庆市,24598,21678,20774,19248,17898,16385,15140,13811,12600,11468,10263,8810,7843,7074,6138,5603,5117
四川省,21518,19783,19338,17664,16180,14839,13632,12368,11055,9837,8751,7490,7078,5804,5048,4302,3926
贵州省,17957,14874,14780,13798,12970,11932,10414,9303,8288,7247,6452,5507,4594,4123,3691,3158,2872
云南省,18851,16792,15780,14250,12658,11769,11005,9870,8824,8192,7135,6204,5524,5129,4415,3855,3379
西藏自治区,15343,13225,13029,11520,10320,9319,8246,7317,6307,5468,5063,4809,4347,3927,3693,3141,3398
陕西省,19347,17418,17465,16160,14900,13943,13087,12204,11217,10175,9026,7625,6708,5972,5050,4366,3735
甘肃省,17456,16175,15879,14624,13120,12254,10951,9875,8943,7937,6920,5846,5258,4670,4130,3630,3392
青海省,19020,18284,17545,16557,15503,14775,13611,12605,11576,10386,9032,7713,6619,5952,5184,4434,4105
宁夏回族自治区,20024,17506,18297,16715,15350,14965,13816,12485,11292,10009,9010,7745,6746,6172,4981,4479,3996
新疆维吾尔自治区,18961,16512,17397,16189,15087,14066,12867,11904,11392,10171,8575,7126,6122,5591,4937,4134,3777
数据来源：国家统计局
