数据库：分省年度数据
指标：住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,4351,4561,4349,4168,84086,5240,4562,4248,4764,,3326,,,,36718,,,
天津市,,,1444,1687,1840,1671,33477,1512,1461,1473,1438,,579,,,,13941,,,
河北省,,,3621,4006,3434,3250,77357,2950,2880,2586,2781,,1852,,,,31930,,,
山西省,,,2766,3144,2733,2514,51977,3049,3033,2647,2292,,1042,,,,18763,,,
内蒙古自治区,,,3159,3032,3207,3261,56252,3013,2719,3251,3552,,1272,,,,28180,,,
辽宁省,,,3943,3891,3334,2746,68266,3450,4395,4709,3857,,1376,,,,43882,,,
吉林省,,,2808,2655,2440,2152,42214,1795,1727,2125,2119,,699,,,,17639,,,
黑龙江省,,,2137,2402,2441,1983,40924,3088,2512,2223,2662,,1636,,,,24380,,,
上海市,,,4723,4899,5078,5310,96010,5853,5668,5849,5851,,2500,,,,45836,,,
江苏省,,,6995,7021,6717,6452,138279,7133,5841,6690,7686,,3778,,,,72360,,,
浙江省,,,7543,7494,6352,6470,134754,7996,8527,8150,9635,,3632,,,,67998,,,
安徽省,,,4191,3853,3350,2777,66393,4355,3297,2909,3384,,1067,,,,25973,,,
福建省,,,4459,4521,4908,4617,86464,5662,5346,5367,6389,,2760,,,,47818,,,
江西省,,,2836,1686,1375,1764,47671,1528,1439,1353,1870,,952,,,,19266,,,
山东省,,,5949,5612,6281,5725,113554,4386,4167,5072,4803,,1639,,,,50257,,,
河南省,,,3586,2910,2944,4074,75227,3704,3214,3126,3919,,674,,,,22097,,,
湖北省,,,5488,4828,4804,4262,91092,4380,4938,4025,3307,,1216,,,,30501,,,
湖南省,,,4392,4994,4460,3223,80597,2992,2407,2079,2552,,799,,,,28484,,,
广东省,,,15339,15000,14513,14281,279278,10364,13604,13469,11469,,11766,,,,172821,,,
广西壮族自治区,,,2888,2446,2069,2082,55091,2949,2525,2104,2447,,810,,,,20095,,,
海南省,,,840,989,842,578,14572,768,666,725,837,,256,,,,6219,,,
重庆市,,,3404,3510,3273,2865,54799,2729,2441,2388,2590,,1087,,,,14853,,,
四川省,,,7588,7193,5891,5138,121609,5330,4656,4809,4850,,1987,,,,39270,,,
贵州省,,,2129,2185,2105,1798,42979,2882,2397,2018,2154,,864,,,,16124,,,
云南省,,,2967,2532,1789,2541,54359,1836,2148,2979,3232,,800,,,,21686,,,
西藏自治区,,,145,77,33,68,2913,21,76,8,79,,1,,,,721,,,
陕西省,,,2018,2371,2956,2371,54823,1551,2411,2096,1889,,914,,,,15022,,,
甘肃省,,,1304,1291,1063,872,26052,868,942,1021,853,,227,,,,7968,,,
青海省,,,464,502,364,316,8065,479,369,370,480,,203,,,,3242,,,
宁夏回族自治区,,,650,729,761,582,12794,558,597,631,545,,226,,,,3754,,,
新疆维吾尔自治区,,,1654,1913,1751,1612,35580,1693,1628,1810,2079,,407,,,,14575,,,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
