数据库：分省年度数据
指标：铁路客运量(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,8607,6388,14825,14357,13931,13479,12918,12709,11680,10398,9800,8915,8161,7646,6915,6269,5779,5437,4360,5044
天津市,3406,2636,5332,5075,4792,4543,4054,3687,3352,2970,2829,2594,2232,1944,1573,1632,1550,1499,1291,1510
河北省,7931,7102,13013,12211,11527,10771,9706,9571,8762,7846,7601,7558,7194,6816,6238,6024,5492,5270,4442,5101
山西省,6454,4890,8153,7958,7664,7530,7418,6949,6294,6208,6219,5754,5320,4740,4183,3760,3411,3411,2861,3138
内蒙古自治区,3597,3298,5640,5446,5446,5388,5108,4789,4635,4320,4207,4213,4079,3861,3639,3490,3172,3142,2768,3069
辽宁省,7778,7100,15137,14422,14266,14040,12919,12841,13033,12045,12044,13336,13377,12004,10446,9911,9533,9626,8731,9711
吉林省,4216,3832,8623,8446,7663,7567,7158,6935,6629,6263,6141,5770,5687,5320,4855,4590,4618,4687,4306,4962
黑龙江省,4867,4590,11223,10522,10412,10480,9865,10096,10107,10524,10745,10602,10133,10012,9631,8924,8359,8860,8319,9312
上海市,9284,7605,12834,12267,11617,10609,9692,9194,7972,6758,6198,6095,5161,5343,4795,4458,4313,4076,3391,3518
江苏省,21367,16084,23739,21204,19786,17814,16116,15374,13435,11758,10603,9711,9167,8846,8037,7545,6797,6085,5104,5292
浙江省,18263,15854,24309,21870,20114,18035,15224,13648,11052,9144,8888,8083,7024,7000,7361,6857,6383,6255,5197,5361
安徽省,11118,9479,13410,12337,11487,10370,8553,7972,7210,6385,5980,5552,5131,4662,4242,4000,3486,3406,2987,3178
福建省,8350,7539,12741,12096,11624,10496,9256,8345,6501,5295,4695,3640,2083,2066,2261,2022,1684,1754,1576,1620
江西省,9167,8157,11938,11131,10224,9249,8458,7840,6945,6335,6152,5588,5470,5214,4606,4172,3906,3778,3325,3447
山东省,13790,10457,17325,15356,14151,12639,11397,10304,9246,8347,7327,6679,6136,5669,5146,4756,3973,3876,3343,3624
河南省,13126,11415,17709,16383,15252,13825,12200,11647,10532,9213,8804,8338,7718,7476,6622,6465,5879,5695,4864,5206
湖北省,11627,8148,17216,16713,15747,14197,13508,12379,10410,8266,7083,6013,5260,4918,4133,3889,3713,3456,3017,3146
湖南省,12865,11392,15626,13943,12872,11518,10511,9806,9231,8601,8064,7250,6466,6284,6029,5758,5661,5563,5061,5382
广东省,24452,23060,38699,34121,28766,25603,23149,20942,17658,15031,14441,11674,10361,10613,10256,9356,8900,8459,7237,7434
广西壮族自治区,9088,7838,11777,11100,9838,8388,7046,4770,3275,3310,3383,3148,2886,2623,2329,2073,1773,1639,1623,1801
海南省,2771,2208,3085,2958,2674,2292,1651,1543,1389,1162,1074,84,68,65,46,23,24,16,13,13
重庆市,6497,5232,8407,7707,6349,4911,3994,4057,3251,3040,2934,2664,2605,2474,2263,1528,1332,1166,1069,1214
四川省,14073,11296,17352,15116,12631,11456,9207,8905,8240,7997,13147,8148,5903,5939,6190,5776,5212,4945,4233,4890
贵州省,6481,5536,7196,6761,5796,5169,4901,4409,4322,3902,3939,3437,3204,3199,2979,2536,2191,1855,1796,1947
云南省,5253,4440,6553,5500,4754,4056,3949,3479,3189,2762,2727,2446,2123,2110,2156,1982,1782,1739,1364,1340
西藏自治区,327,249,345,352,320,265,221,163,129,110,110,99,85,70,89,38,,,,
陕西省,7728,7044,11461,10953,8908,8302,7866,7077,6123,5757,5614,5411,5008,5218,4848,4370,3601,3231,2497,2670
甘肃省,4601,4153,5969,5473,4467,3604,3123,2672,2522,2383,2451,2273,2121,1911,1727,1519,1316,1194,989,1085
青海省,821,762,1148,1256,1134,994,936,615,592,544,520,474,430,407,393,353,349,364,395,421
宁夏回族自治区,720,558,666,653,650,659,661,657,594,535,543,539,513,457,382,357,309,295,251,250
新疆维吾尔自治区,2543,2012,4550,3810,3515,3155,2719,2329,2286,2125,1964,1524,1345,1287,1300,1226,1084,985,852,919
注：从2008年起，国家铁路和合资铁路客货运输量及周转量统计口径有调整，其中国家铁路包括了国家控股合资部分，合资铁路仅指非控股合资(以下各表同)。2010、2011年，合资铁路客运量统计口径和其他年份不一致。
数据来源：国家统计局
